행정구역,2023년1분기_유동인구,2023년1분기_주거인구,2023년1분기_직장인구,2023년2분기_유동인구,2023년2분기_주거인구,2023년2분기_직장인구,2023년3분기_유동인구,2023년3분기_주거인구,2023년3분기_직장인구,2023년4분기_유동인구,2023년4분기_주거인구,2023년4분기_직장인구,2024년1분기_유동인구,2024년1분기_주거인구,2024년1분기_직장인구,2024년2분기_유동인구_x,2024년2분기_주거인구_x,2024년2분기_직장인구_x,2024년2분기_유동인구_y,2024년2분기_주거인구_y,2024년2분기_직장인구_y,2024년3분기_유동인구,2024년3분기_주거인구,2024년3분기_직장인구,2024년4분기_유동인구,2024년4분기_주거인구,2024년4분기_직장인구
성동구,44164,170,36,43526,170,36,43238,170,36,44240,165,46,44462,165,46,43880,165,46,43880,165,46,42912,165,46,43573,165,44
왕십리2동,126174,454,29,119146,454,29,119692,454,29,120139,429,27,123634,429,27,117029,429,27,117029,429,27,114327,429,27,114652,429,35
왕십리도선동,81471,277,42,80121,277,42,78144,277,42,79105,369,42,77884,369,42,77064,369,42,77064,369,42,77405,369,42,77748,369,42
마장동,52295,216,65,50953,216,65,51503,216,65,52231,208,58,51690,208,58,49660,208,58,49660,208,58,49116,208,58,48127,208,67
사근동,35945,94,3,38775,94,3,33890,94,3,37835,102,3,34559,102,3,37357,102,3,37357,102,3,33357,102,3,36326,102,4
행당1동,78232,205,26,80785,205,26,84196,205,26,93017,238,23,94095,238,23,96067,238,23,96067,238,23,93318,238,23,102847,238,30
행당2동,98221,581,0,96340,581,0,98051,581,0,98652,499,0,100792,499,0,100745,499,0,100745,499,0,98802,499,0,100498,499,0
응봉동,56772,292,11,55054,292,11,54274,292,11,52665,270,8,54974,270,8,54220,270,8,54220,270,8,53777,270,8,49753,270,10
금호1가동,79304,307,38,72886,307,38,71980,307,38,71750,332,30,71738,332,30,67923,332,30,67923,332,30,73360,332,30,73647,332,39
금호2·3가동,103703,387,6,99833,387,6,103106,387,6,104220,348,4,106579,348,4,101256,348,4,101256,348,4,99415,348,4,96911,348,4
금호4가동,35625,172,8,34727,172,8,35525,172,8,36816,170,5,39432,170,5,37269,170,5,37269,170,5,34672,170,5,33395,170,6
옥수동,15362,120,11,15267,120,11,15425,120,11,15385,132,24,15307,132,24,14921,132,24,14921,132,24,14893,132,24,15044,132,17
성수1가1동,16754,85,13,16521,85,13,16185,85,13,16311,82,12,16321,82,12,16757,82,12,16757,82,12,16328,82,12,17180,82,18
성수1가2동,60023,159,59,60436,159,59,59982,159,59,60623,128,53,60299,128,53,61633,128,53,61633,128,53,59882,128,53,60622,128,93
성수2가1동,44404,156,70,42514,156,70,41544,156,70,43684,123,62,44367,123,62,42927,123,62,42927,123,62,41002,123,62,41671,123,65
성수2가3동,53171,103,215,53163,103,215,51508,103,215,52603,95,385,53286,95,385,52531,95,385,52531,95,385,52402,95,385,54423,95,295
송정동,44372,164,11,44582,164,11,43119,164,11,43668,143,11,44045,143,11,41625,143,11,41625,143,11,43429,143,11,46178,143,11
용답동,14365,63,14,14221,63,14,14854,63,14,14727,50,12,14644,50,12,15095,50,12,15095,50,12,13842,50,12,13603,50,11
